dataset_name,simulator,layer,dataset_type,purpose,file_pattern,format,files_found,records_total,sample_records,schema_hint,sample_path,matched_paths
drop_decision_timeline,analysis pipeline,analysis,tabular_events,Causal join between message drops and later control decisions.,behavior/artifacts/drop_decision_timeline/event_timeline.csv,csv,1,0,0,"vehicle_id,pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,decision_delay_s,lane_before,lane_after,target_speed_mps,lane_change",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/drop_decision_timeline/event_timeline.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/drop_decision_timeline/event_timeline.csv
drop_decision_summary,analysis pipeline,analysis,tabular_summary,Aggregate statistics for drop-to-decision matching quality.,behavior/artifacts/drop_decision_timeline/summary.csv,csv,1,1,1,"vehicles_scanned,total_drop_events,matched_decision_events,strict_match_ratio,reaction_events,no_action_events,missing_decision_events,lane_change_events,median_decision_delay_s,p95_decision_delay_s",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/drop_decision_timeline/summary.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/drop_decision_timeline/summary.csv
collision_causality_csv,analysis pipeline,analysis,tabular_events,Structured collision causality rows linking safety outcomes to communication events when collisions exist.,behavior/artifacts/collision_causality/collision_causality.csv,csv,1,0,0,,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_causality/collision_causality.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_causality/collision_causality.csv
collision_causality_report,analysis pipeline,analysis,markdown_report,Human-readable causality interpretation for collisions or empty-collision cases.,behavior/artifacts/collision_causality/collision_causality.md,md,1,4,4,# Collision Causality Report | - collision XML: `/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-collision.xml` | - event timeline CSV: `/home/afetz/work/clean/NEW,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_causality/collision_causality.md,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_causality/collision_causality.md
pscch_rx_trace,5G-LENA NR sidelink,radio_control,tabular_radio_trace,Received PSCCH control blocks with SCI stage 1 decoding outcome and reservation metadata.,native_nr/native_nr-pscch.csv,csv,1,1172,1172,"time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,rb_start,rb_end,rb_assigned,bwp_id,rv,priority,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,dst_l2_id",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pscch.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pscch.csv
pscch_tx_trace,5G-LENA NR sidelink,radio_control,tabular_radio_trace,Transmitted PSCCH control grants and reservation structure selected by Mode 2 SPS.,native_nr/native_nr-pscch-tx.csv,csv,1,594,594,"time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pscch-tx.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pscch-tx.csv
pssch_rx_trace,5G-LENA NR sidelink,radio_data,tabular_radio_trace,"Received PSSCH data blocks with TB corruption, SCI2 corruption, and RB allocation fields.",native_nr/native_nr-pssch.csv,csv,1,614,614,"time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,ndi,tbler_sci2,sci2_corrupted,rb_start,rb_end,rb_assigned,bwp_id,rv,dst_l2_id,src_l2_id",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pssch.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pssch.csv
pssch_tx_trace,5G-LENA NR sidelink,radio_data,tabular_radio_trace,"Transmitted PSSCH blocks with HARQ/NDI, source/destination L2 ids, and reselection counters.",native_nr/native_nr-pssch-tx.csv,csv,1,1485,1485,"time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,subchannel_size,rb_start,rb_len,harq_id,ndi,rv,src_l2_id,dst_l2_id,csi_req,cast_type,resource_reselection_counter,c_reselection_counter",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pssch-tx.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-pssch-tx.csv
cam_rx_radio_trace,5G-LENA NR sidelink,radio_data,tabular_radio_trace,"Per-received CAM radio sample with distance, RSSI, and SNR.",native_nr/native_nr-cam.csv,csv,1,581,581,"time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-cam.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-cam.csv
prr_summary,5G-LENA NR sidelink,radio_summary,tabular_summary,Per-node packet reception ratio summary exported by the native PHY experiment.,native_nr/native_nr-prr.csv,csv,1,3,3,"node_id,prr",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-prr.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-prr.csv
native_nr_text_log,5G-LENA NR sidelink,radio_summary,text_log,"Execution log for the native PHY sidecar, including trace attachment and output paths.",native_nr/v2v-5g-phy-metrics-experiment.log,log,1,22,22,"=== 5G NR-V2X PHY Metrics Experiment === | MCS=14 numerology=2 txPower=23 dBm sensing=ON sionna=ON simTime=22 s | Sionna ray-tracing enabled (server=127.0.0.1, local=yes)",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/v2v-5g-phy-metrics-experiment.log,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/v2v-5g-phy-metrics-experiment.log
native_nr_summary,5G-LENA NR sidelink,radio_summary,text_summary,"Compact experiment summary with MCS, numerology, PRR, latency, and wall-clock time.",native_nr/native_nr-summary.txt,txt,1,15,15,5G NR-V2X PHY Metrics Experiment Summary | ======================================== | MCS: 14,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-summary.txt,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/native_nr/native_nr-summary.txt
